FID_1,State,LNG,HY,ELEC,E85,CNG,BD,LPG,Alt_Total,MMT_Petro,POP
49,AK,0,0,0,0,1,0,5,6,17.1,735132
50,AL,4,0,47,31,24,10,116,232,33.2,4833722
51,AR,3,0,29,33,9,5,39,118,21.6,2959373
52,AZ,8,1,289,31,34,79,67,509,32.8,6626624
53,CA,48,21,1868,92,281,81,232,2623,217.7,38332521
54,CO,2,1,148,90,37,20,52,350,30.6,5268367
55,CT,1,2,136,1,17,2,15,174,20.8,3596080
56,DC,0,0,31,4,3,7,0,45,1,646449
57,DE,0,0,13,2,1,1,4,21,6.3,925749
58,FL,2,0,501,59,37,17,68,684,103.9,19552860
59,GA,5,0,207,67,31,25,59,394,58.6,9992167
60,HI,0,3,166,3,1,9,3,185,16.8,1404054
61,IA,1,0,51,193,5,3,21,274,25.7,3090416
62,ID,6,0,13,9,8,5,25,66,10.3,1612136
63,IL,2,1,311,221,44,11,103,693,76.9,12882135
64,IN,4,0,115,172,25,7,175,498,50.9,6570902
65,KS,2,0,66,29,8,6,38,149,26.6,2893957
66,KY,0,0,34,59,5,4,46,148,38.1,4395295
67,LA,2,0,43,5,23,2,34,109,95.9,4625470
68,MA,0,1,230,8,25,12,18,294,37.2,6692824
69,MD,1,0,238,26,10,9,18,302,29.6,5928814
70,ME,0,0,22,1,1,3,12,39,12.6,1328302
71,MI,0,4,283,174,21,18,73,573,54,9895622
72,MN,0,0,121,335,13,10,34,513,38,5420380
73,MO,1,1,84,107,14,4,64,275,40.2,6044171
74,MS,1,0,34,1,7,4,118,165,28.2,2991207
75,MT,0,0,4,3,2,6,44,59,11.7,1015165
76,NC,0,0,246,22,41,134,100,543,52.1,9848060
77,ND,0,0,4,58,1,3,18,84,15.1,723393
78,NE,2,0,18,76,9,3,22,130,15.9,1868516
79,NH,0,0,29,0,4,5,11,49,9.4,1323459
80,NJ,0,0,119,5,32,5,10,171,64.9,8899339
81,NM,2,0,17,14,11,8,46,98,16.2,2085287
82,NV,3,1,41,20,8,5,38,116,14.7,2790136
83,NY,0,9,355,87,119,38,66,674,83.7,19651127
84,OH,4,1,144,97,38,18,68,370,74.4,11570808
85,OK,1,0,24,28,95,5,152,305,35.1,3850568
86,OR,3,0,390,8,13,24,34,472,21.8,3930065
87,PA,3,2,167,35,60,7,75,349,77.1,12773801
88,RI,0,0,63,0,6,6,6,81,5.3,1051511
89,SC,2,2,138,83,10,60,44,339,32.3,4774839
90,SD,0,0,11,88,0,2,18,119,7.4,844877
91,TN,2,0,368,56,16,44,101,587,43.8,6495978
92,TX,21,1,625,99,90,19,477,1332,280.9,26448193
93,UT,8,0,50,5,91,3,27,184,19.1,2900872
94,VA,1,1,210,21,22,12,59,326,52.6,8260405
95,VT,0,0,27,1,3,2,3,36,5.1,626630
96,WA,1,1,469,24,24,34,68,621,48.7,6971406
97,WI,3,0,129,117,52,4,55,360,32.7,5742713
98,WV,0,0,22,4,3,2,12,43,12.5,1854304
99,WY,2,0,2,9,12,13,17,55,11,582658
