FID_1,State,LNG,HY,ELEC,E85,CNG,BD,LPG,total
49,AK,0,0,0,0,0.136029992,0,0.680149959,0.816179951
50,AL,0.082751966,0,0.972335604,0.641327739,0.496511798,0.206879916,2.399807022,4.799614045
51,AR,0.101372825,0,0.979937304,1.11510107,0.304118474,0.168954708,1.31784672,3.9873311
52,AZ,0.120725123,0.01509064,4.361195082,0.467809853,0.513081774,1.192160593,1.011072908,7.681135975
53,CA,0.125220045,0.05478377,4.873146747,0.240005086,0.733059013,0.211308826,0.605230217,6.842753703
54,CO,0.037962427,0.018981214,2.809219631,1.708309235,0.702304908,0.379624274,0.987023114,6.643424803
55,CT,0.027808058,0.055616115,3.781895842,0.027808058,0.47273698,0.055616115,0.417120865,4.838602033
56,DC,0,0,4.795428564,0.618764976,0.464073732,1.082838708,0,6.961105981
57,DE,0,0,1.404268328,0.216041281,0.108020641,0.108020641,0.432082562,2.268433452
58,FL,0.010228683,0,2.562285006,0.301746138,0.189230629,0.086943803,0.34777521,3.498209469
59,GA,0.050039196,0,2.071622702,0.670525222,0.310243013,0.250195979,0.590462509,3.943088621
60,HI,0,0.213666996,11.8229071,0.213666996,0.071222332,0.641000987,0.213666996,13.1761314
61,IA,0.032358103,0,1.650263266,6.245113926,0.161790516,0.09707431,0.679520168,8.866120289
62,ID,0.372177037,0,0.806383581,0.558265556,0.49623605,0.310147531,1.550737655,4.093947409
63,IL,0.015525377,0.007762688,2.414196094,1.715554138,0.34155829,0.085389572,0.799556906,5.379543065
64,IN,0.060874443,0,1.750140239,2.617601054,0.380465269,0.106530275,2.663256886,7.578868168
65,KS,0.069109527,0,2.280614398,1.002088144,0.276438109,0.207328582,1.313081017,5.148659776
66,KY,0,0,0.773554449,1.342344484,0.113758007,0.091006406,1.046573666,3.367237011
67,LA,0.043238849,0,0.929635259,0.108097123,0.497246766,0.043238849,0.735060437,2.356517284
68,MA,0,0.014941376,3.436516484,0.119531008,0.3735344,0.179296512,0.268944768,4.392764549
69,MD,0.01686678,0,4.014293584,0.438536274,0.168667798,0.151801018,0.303602036,5.093767489
70,ME,0,0,1.656249859,0.075284084,0.075284084,0.225852253,0.903409014,2.936079295
71,MI,0,0.040421916,2.859850548,1.75835334,0.212215058,0.181898621,0.737699965,5.790439449
72,MN,0,0,2.232315815,6.180378497,0.239835583,0.18448891,0.627262295,9.464281102
73,MO,0.016544866,0.016544866,1.389768754,1.770300675,0.231628126,0.066179464,1.058871432,4.549838183
74,MS,0.033431321,0,1.136664898,0.033431321,0.234019244,0.133725282,3.944895823,5.516167888
75,MT,0,0,0.394024617,0.295518463,0.197012308,0.591036925,4.334270784,5.811863096
76,NC,0,0,2.497953912,0.223394252,0.416325652,1.360674082,1.015428419,5.513776317
77,ND,0,0,0.55294978,8.017771806,0.138237445,0.414712335,2.488274009,11.61194537
78,NE,0.107036814,0,0.963331328,4.067398941,0.481665664,0.160555221,1.177404957,6.957392926
79,NH,0,0,2.191227684,0,0.302238301,0.377797877,0.831155329,3.702419191
80,NJ,0,0,1.337177963,0.056183948,0.359577267,0.056183948,0.112367896,1.921491023
81,NM,0.095910059,0,0.815235505,0.671370416,0.527505327,0.383640238,2.205931366,4.69959291
82,NV,0.107521641,0.035840547,1.46946242,0.716810937,0.286724375,0.179202734,1.36194078,4.157503434
83,NY,0,0.0457989,1.806512166,0.4427227,0.605563233,0.193373133,0.3358586,3.429828732
84,OH,0.034569755,0.008642439,1.244511187,0.838316564,0.328412674,0.155563898,0.587685838,3.197702356
85,OK,0.025970195,0,0.623284669,0.727165447,2.46716848,0.129850973,3.947469568,7.920909331
86,OR,0.076334615,0,9.923499993,0.203558974,0.330783333,0.610676923,0.86512564,12.00997948
87,PA,0.02348557,0.015657047,1.307363407,0.273998319,0.469711404,0.054799664,0.587139255,2.732154666
88,RI,0,0,5.991378122,0,0.57060744,0.57060744,0.57060744,7.703200442
89,SC,0.041886229,0.041886229,2.890149804,1.738278505,0.209431145,1.256586871,0.921497039,7.099715823
90,SD,0,0,1.301964665,10.41571732,0,0.236720848,2.130487633,14.08489046
91,TN,0.030788282,0,5.665043816,0.862071885,0.246306253,0.677342195,1.554808221,9.036360653
92,TX,0.07940051,0.003780977,2.363110402,0.374316688,0.340287898,0.071838556,1.803525859,5.036260889
93,UT,0.275779145,0,1.723619656,0.172361966,3.136987775,0.103417179,0.930754614,6.342920336
94,VA,0.012105944,0.012105944,2.542248231,0.254224823,0.266330767,0.145271327,0.714250694,3.94653773
95,VT,0,0,4.308762747,0.159583805,0.478751416,0.319167611,0.478751416,5.745016996
96,WA,0.014344309,0.014344309,6.727480798,0.34426341,0.34426341,0.487706497,0.975412994,8.907815726
97,WI,0.052240117,0,2.246325038,2.03736457,0.905495364,0.06965349,0.957735481,6.268814061
98,WV,0,0,1.186428978,0.21571436,0.16178577,0.10785718,0.647143079,2.318929366
99,WY,0.343254534,0,0.343254534,1.544645401,2.059527201,2.231154468,2.917663535,9.439499672
